setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
msDsc,308.15,0.21,96.7,1071.6,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,0.285,96.7,1068.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,0.369,96.7,1064.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,0.478,96.7,1059.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,0.606,96.7,1054.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,0.789,96.7,1048.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,0.884,96.7,1046,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,1,96.7,1043.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0,96.7,1080.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0.21,96.7,1067.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0.285,96.7,1064.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0.369,96.7,1060.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0.478,96.7,1055.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0.606,96.7,1051.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0.789,96.7,1045.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,0.884,96.7,1043,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,313.15,1,96.7,1040.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0,96.7,1075.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0.21,96.7,1063.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0.285,96.7,1060.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0.369,96.7,1057.2,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0.478,96.7,1052.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0.606,96.7,1047.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0.789,96.7,1042.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,0.884,96.7,1039.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,318.15,1,96.7,1037.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0,96.7,1070.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0.21,96.7,1059.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0.285,96.7,1056.6,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0.369,96.7,1053.6,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0.478,96.7,1048.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0.606,96.7,1044.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0.789,96.7,1039.2,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,0.884,96.7,1036.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,323.15,1,96.7,1034.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0,96.7,1065.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0.21,96.7,1055.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0.285,96.7,1052.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0.369,96.7,1050,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0.478,96.7,1045.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0.606,96.7,1041.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0.789,96.7,1036.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,0.884,96.7,1033.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,328.15,1,96.7,1031.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0,96.7,1060.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0.21,96.7,1051.2,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0.285,96.7,1048.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0.369,96.7,1046.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0.478,96.7,1042,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0.606,96.7,1037.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0.789,96.7,1033,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,0.884,96.7,1030.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,333.15,1,96.7,1028.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0,96.7,1055.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0.21,96.7,1047.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0.285,96.7,1045.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0.369,96.7,1042.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0.478,96.7,1038.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0.606,96.7,1034.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0.789,96.7,1029.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,0.884,96.7,1027.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,338.15,1,96.7,1025.6,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0,96.7,1050.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0.21,96.7,1043,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0.285,96.7,1041.2,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0.369,96.7,1039.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0.478,96.7,1035.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0.606,96.7,1031.2,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0.789,96.7,1026.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,0.884,96.7,1024.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,343.15,1,96.7,1022.6,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0,96.7,1045.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0.21,96.7,1038.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0.285,96.7,1037.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0.369,96.7,1035.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0.478,96.7,1031.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0.606,96.7,1027.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0.789,96.7,1023.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,0.884,96.7,1021.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,348.15,1,96.7,1019.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
