setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of pentan-1-ol, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HNTNy,0.05,0.169,298.15,101,996.44,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.05,0.169,308.15,101,993.137,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.05,0.184,298.15,101,996.2,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.05,0.184,308.15,101,992.92,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.05,0.25,298.15,101,995.145,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.05,0.25,308.15,101,991.79,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0,298.15,101,1000.97,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0,308.15,101,997.734,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.07,298.15,101,999.848,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.07,308.15,101,996.585,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.093,298.15,101,999.49,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.093,308.15,101,996.208,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.096,298.15,101,999.434,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.096,308.15,101,996.15,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.106,298.15,101,999.267,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.106,308.15,101,995.976,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.153,298.15,101,998.507,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.153,308.15,101,995.169,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.19,298.15,101,997.905,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.19,308.15,101,994.525,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.25,298.15,101,996.914,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HNTNy,0.1,0.25,308.15,101,993.456,Dubey (2010),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
