setid,"Solvent: MolaLity of lithium chloride, mol/kg","MolaLity of 1-hexyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tAwHD,0.0061,0.0426,86,298.15,1197.68,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0,86,298.15,1199.47,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.0111,86,298.15,1199.01,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.0143,86,298.15,1198.88,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.0197,86,298.15,1198.66,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.0236,86,298.15,1198.5,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.0278,86,298.15,1198.33,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.0358,86,298.15,1198.01,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.039,86,298.15,1197.88,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0104,0.0447,86,298.15,1197.64,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
