setid,"Temperature, K",Solvent: Weight fraction of propylene carbonate,"MolaLity of lithium hexafluorophosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ypAeg,293.15,0,0.926,100,1109.5,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,0,2.147,100,1216,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,0.498,0,100,1106,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,0.503,0.869,100,1174.7,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,0.51,1.977,100,1300.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,1,0,100,1205.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,1,0.797,100,1267.7,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,1,1.813,100,1346.7,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,0,0,100,1007.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,0,0.926,100,1103.7,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,0,2.147,100,1210.5,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,0.498,0,100,1100.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,0.503,0.869,100,1169.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,0.51,1.977,100,1295.2,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,1,0,100,1200,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,1,0.797,100,1262.5,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,298.15,1,1.813,100,1341.5,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,0,0,100,1001,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,0,0.926,100,1097.9,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,0,2.147,100,1204.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,0.498,0,100,1094.9,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,0.503,0.869,100,1164.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,0.51,1.977,100,1289.9,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,1,0,100,1194.7,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,1,0.797,100,1257.3,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,303.15,1,1.813,100,1336.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,0,0,100,988.9,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,0,0.926,100,1086.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,0,2.147,100,1193.7,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,0.498,0,100,1083.7,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,0.503,0.869,100,1153.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,0.51,1.977,100,1279.4,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,1,0,100,1184,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,1,0.797,100,1247.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,313.15,1,1.813,100,1326.2,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
