setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of ethyl 3-oxobutanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VHEdK,0,308.15,0.076,101,994.8,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.1625,101,995.6,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.2495,101,996.4,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.3767,101,997.6,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.4725,101,998.4,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.5324,101,998.9,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.6848,101,1000.1,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.7843,101,1000.9,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0,308.15,0.9019,101,1001.8,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,288.15,0.0761,101,1000.2,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
VHEdK,0.1106,288.15,0.1187,101,1000.7,Pal et al. (2014a),Density,Liquid,AAZBIG,CCOC(=O)CC(C)=O,ethyl 3-oxobutanoate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
