setid,"Temperature, K",Mole fraction of diethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UylGa,298.15,0.6756,101,1037.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.7186,101,1035.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.7542,101,1033.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.7977,101,1031,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.8465,101,1028.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.8868,101,1026.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.9373,101,1024.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.9747,101,1022.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,1,101,1021.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0,101,1092.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.0144,101,1091,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.029,101,1089.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.044,101,1087.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.0752,101,1084.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.1077,101,1081.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.1594,101,1075.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.2149,101,1070.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.2747,101,1064.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.34,101,1058.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.4103,101,1052.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.5136,101,1044,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.6299,101,1036.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.6756,101,1033.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.7186,101,1030.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.7542,101,1028.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.7977,101,1026.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.8465,101,1023.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.8868,101,1021.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.9373,101,1019.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,0.9747,101,1017.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,303.15,1,101,1016.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0,101,1086.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.0144,101,1084.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.029,101,1083.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.044,101,1081.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.0752,101,1078.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.1077,101,1075.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.1594,101,1070.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.2149,101,1064.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.2747,101,1058.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.34,101,1052.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.4103,101,1046.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.5136,101,1039,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.6299,101,1031.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.6756,101,1028.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.7186,101,1026,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.7542,101,1024,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.7977,101,1021.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.8465,101,1019.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.8868,101,1017.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.9373,101,1014.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,0.9747,101,1013.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,308.15,1,101,1011.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
