setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium diethyl phosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NchGg,303.15,0.0972,100,999.51,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,303.15,0.1093,100,999.96,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,303.15,0.1198,100,1000.34,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.0279,100,995.2,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.0392,100,995.66,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.048,100,996.01,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.0555,100,996.31,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.0668,100,996.75,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.0788,100,997.21,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.0856,100,997.47,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.0972,100,997.91,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.1093,100,998.35,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,308.15,0.1198,100,998.73,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.0279,100,993.39,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.0392,100,993.85,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.048,100,994.2,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.0555,100,994.5,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.0668,100,994.94,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.0788,100,995.41,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.0856,100,995.67,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.0972,100,996.1,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.1093,100,996.55,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,313.15,0.1198,100,996.93,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.0279,100,991.39,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.0392,100,991.85,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.048,100,992.21,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.0555,100,992.5,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.0668,100,992.95,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.0788,100,993.41,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.0856,100,993.67,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.0972,100,994.11,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.1093,100,994.56,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
NchGg,318.15,0.1198,100,994.94,Jain and Zodape (2023),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,
