setid,"Temperature, K",Mole fraction of diethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GzYnp,323.15,0.6,101,1050.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,323.15,0.8,101,1060.7,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,323.15,1,101,1077.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,333.15,0,101,1031.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,333.15,0.2,101,1034.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,333.15,0.4,101,1038.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,333.15,0.6,101,1044.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,333.15,0.8,101,1054.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,333.15,1,101,1070.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,343.15,0,101,1025.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,343.15,0.2,101,1028.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,343.15,0.4,101,1032.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,343.15,0.6,101,1038.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,343.15,0.8,101,1048.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,343.15,1,101,1063.5,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
