setid,Mole fraction of di(2-aminoethyl)amine,"Mole fraction of 1,2-ethanediol","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JebFd,0.333,0.333,323,100,1067.2,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.333,0.333,333,100,1060.1,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.333,0.333,343,100,1052.9,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.333,0.333,353,100,1045.8,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.4,0.2,293,100,1081.3,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.4,0.2,303,100,1074.3,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.4,0.2,313,100,1067.4,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.4,0.2,323,100,1060.4,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.4,0.2,333,100,1053.5,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.4,0.2,343,100,1046.5,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.4,0.2,353,100,1039.5,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.429,0.143,293,100,1096.6,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.429,0.143,303,100,1089.6,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.429,0.143,313,100,1082.5,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.429,0.143,323,100,1075.5,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.429,0.143,333,100,1068.4,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.429,0.143,343,100,1061.4,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.429,0.143,353,100,1054.3,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.5,0.25,293,100,1058.2,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.5,0.25,303,100,1050.7,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.5,0.25,313,100,1043.2,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.5,0.25,323,100,1035.8,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.5,0.25,333,100,1028.3,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.5,0.25,343,100,1020.8,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.5,0.25,353,100,1013.4,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
