setid,"Solvent: MolaLity of lithium chloride, mol/kg","MolaLity of 1-hexyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zSGJs,0.308,0.0123,86,298.15,1003.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0147,86,298.15,1003.7,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0182,86,298.15,1003.7,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0211,86,298.15,1003.7,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0235,86,298.15,1003.8,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0269,86,298.15,1003.8,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0321,86,298.15,1003.9,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0,86,298.15,1005.3,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0052,86,298.15,1005.4,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0093,86,298.15,1005.4,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0134,86,298.15,1005.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0156,86,298.15,1005.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0191,86,298.15,1005.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0216,86,298.15,1005.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0239,86,298.15,1005.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0258,86,298.15,1005.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.393,0.0295,86,298.15,1005.7,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
