setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of L-arabinose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YPHBV,293.15,0.02925,86,0.5,1026.52,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.03358,86,0.5,1026.67,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.03698,86,0.5,1026.77,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.04177,86,0.5,1026.92,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.04583,86,0.5,1027.03,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.052,86,0.5,1027.19,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.0873,86,0.5,1028.12,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.138,86,0.5,1029.42,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.1949,86,0.5,1030.84,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.2507,86,0.5,1032.19,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.2798,86,0.5,1032.89,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.3664,86,0.5,1034.87,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0,86,0.5,1024.15,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.01442,86,0.5,1024.61,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.0192,86,0.5,1024.75,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.02499,86,0.5,1024.94,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.02925,86,0.5,1025.08,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.03358,86,0.5,1025.21,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.03698,86,0.5,1025.31,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.04177,86,0.5,1025.45,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.04583,86,0.5,1025.56,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.052,86,0.5,1025.72,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.0873,86,0.5,1026.62,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.138,86,0.5,1027.87,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.1949,86,0.5,1029.25,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.2507,86,0.5,1030.56,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.2798,86,0.5,1031.24,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,298.15,0.3664,86,0.5,1033.15,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0,86,0.5,1022.53,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.01442,86,0.5,1022.97,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.0192,86,0.5,1023.11,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.02499,86,0.5,1023.29,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.02925,86,0.5,1023.42,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.03358,86,0.5,1023.55,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.03698,86,0.5,1023.64,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.04177,86,0.5,1023.79,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.04583,86,0.5,1023.89,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.052,86,0.5,1024.04,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.0873,86,0.5,1024.92,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.138,86,0.5,1026.13,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.1949,86,0.5,1027.46,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.2507,86,0.5,1028.74,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.2798,86,0.5,1029.39,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,303.15,0.3664,86,0.5,1031.25,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
