setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium octyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zhmoJ,318.15,0,101,990.2,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,318.15,0.636,101,1001.4,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,318.15,1.487,101,1011.3,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,318.15,2.4,101,1018.6,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,318.15,3.297,101,1023.7,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,318.15,4.253,101,1027.9,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,328.15,0,101,985.7,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,328.15,0.639,101,996.3,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,328.15,1.504,101,1005.7,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,328.15,2.404,101,1012.4,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,328.15,3.314,101,1017.3,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,328.15,4.258,101,1021.3,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
