setid,"Temperature, K","MolaLity of benzylmethylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gGZmn,318.15,0.58316,101.3,1057.65,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0.66053,101.3,1055.83,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0,101.3,1070.29,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.08525,101.3,1067.11,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.17086,101.3,1064.23,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.26383,101.3,1061.29,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.32531,101.3,1059.35,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.42572,101.3,1056.57,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.50888,101.3,1054.4,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.58316,101.3,1052.58,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,323.15,0.66053,101.3,1050.75,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0,101.3,1065.26,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.08525,101.3,1062.1,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.17086,101.3,1059.21,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.26383,101.3,1056.25,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.32531,101.3,1054.31,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.42572,101.3,1051.52,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.50888,101.3,1049.33,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.58316,101.3,1047.51,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,328.15,0.66053,101.3,1045.68,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
