setid,"Temperature, K","MolaRity of N,N-dihexyloctanamide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HdrRW,303,1.1,101,1194.5,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,303,1.6,101,1085.6,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,308,0.4,101,1330,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,308,0.8,101,1249.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,308,1.1,101,1189,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,308,1.6,101,1080.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,313,0.4,101,1326.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,313,0.8,101,1244.8,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,313,1.1,101,1185.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,313,1.6,101,1077.5,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,318,0.4,101,1321.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,318,0.8,101,1240.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,318,1.1,101,1179.8,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,318,1.6,101,1073.2,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,323,0.4,101,1317.1,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,323,0.8,101,1235.8,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,323,1.1,101,1176.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,323,1.6,101,1069.4,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,328,0.4,101,1309.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,328,0.8,101,1232.1,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,328,1.1,101,1171.2,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,328,1.6,101,1064.6,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,333,0.4,101,1305.3,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,333,0.8,101,1226.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,333,1.1,101,1166.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,333,1.6,101,1061.3,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,338,0.4,101,1299.8,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,338,0.8,101,1221.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,338,1.1,101,1159.3,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,338,1.6,101,1056.1,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,343,0.4,101,1295.2,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,343,0.8,101,1217.8,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,343,1.1,101,1154.4,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,343,1.6,101,1053.1,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
