setid,"Solvent: MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","MolaLity of hexanenitrile, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VAygh,0.2975,0.02001,101,298,-0.407,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.3002,0.01999,101,298,-0.407,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.339,0.01999,101,298,-0.412,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.3501,0.01983,101,298,-0.41,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.3658,0.01994,101,298,-0.414,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.3741,0.02002,101,298,-0.416,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.398,0.01999,101,298,-0.418,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.3999,0.20003,101,298,-0.419,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.425,0.2003,101,298,-0.421,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.445,0.01995,101,298,-0.42,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.4973,0.02,101,298,-0.43,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.53,0.01998,101,298,-0.427,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.573,0.02001,101,298,-0.43,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.6005,0.02005,101,298,-0.43,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.696,0.02,101,298,-0.44,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
