setid,Weight fraction of 1-methyl-3-propylimidazolium bromide,Weight fraction of cesium carbonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GUvwv,0.1197,0.0301,298.15,101,1053.46,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1199,0,298.15,101,1027.08,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1202,0.06,298.15,101,1081.45,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1368,0.0301,298.15,101,1058.07,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1371,0.06,298.15,101,1086.32,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1379,0,298.15,101,1031.8,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1542,0,298.15,101,1036.23,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1544,0.03,298.15,101,1062.96,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.15678,0.0599,298.15,101,1091.85,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1713,0.03,298.15,101,1067.74,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1718,0,298.15,101,1041.01,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1742,0.06,298.15,101,1097.05,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
