setid,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CIhtQ,0.016,323.15,101,997.1,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,328.15,101,993.9,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,288.15,101,1019,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,293.15,101,1016.1,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,298.15,101,1012.9,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,303.15,101,1010,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,308.15,101,1007,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,313.15,101,1004,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,318.15,101,1001,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,323.15,101,997.9,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.019,328.15,101,994.9,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
