setid,"Temperature, K",Mole fraction of 1-butylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jmfbi,303.15,0.17,100,1211.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.211,100,1230.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.25,100,1244.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.291,100,1256.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.332,100,1265.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.377,100,1274,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0,100,994,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.03,100,1063.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.06,100,1112.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.09,100,1148.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.13,100,1183,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.17,100,1207.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.211,100,1226.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.25,100,1240.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.291,100,1252.7,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.332,100,1262.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,308.15,0.377,100,1270.7,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0,100,992.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.03,100,1061.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.06,100,1109.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.09,100,1145,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.13,100,1179.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.17,100,1204.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.211,100,1223.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.25,100,1237.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.291,100,1249.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.332,100,1258.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,313.15,0.377,100,1267.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0,100,990.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.03,100,1058.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.06,100,1106.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.09,100,1141.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.13,100,1176,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.17,100,1200.7,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.211,100,1219.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.25,100,1234,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.291,100,1245.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.332,100,1255.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,318.15,0.377,100,1264,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0,100,987.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.03,100,1055.7,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.06,100,1103.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.09,100,1138.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.13,100,1172.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.17,100,1197.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.211,100,1216.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.25,100,1230.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.291,100,1242.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.332,100,1252,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,323.15,0.377,100,1260.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0,100,985.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.03,100,1052.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.06,100,1099.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.09,100,1134.7,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.13,100,1168.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.17,100,1193.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.211,100,1212.7,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.25,100,1227,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.291,100,1239,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.332,100,1248.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,328.15,0.377,100,1257.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0,100,983.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.03,100,1049.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.06,100,1096.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.09,100,1131.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.13,100,1165.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.17,100,1189.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.211,100,1209.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.25,100,1223.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.291,100,1235.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.332,100,1245.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,333.15,0.377,100,1253.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0,100,980.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.03,100,1046.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.06,100,1092.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.09,100,1127.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.13,100,1161.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.17,100,1186.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.211,100,1205.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.25,100,1219.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.291,100,1232,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.332,100,1241.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,338.15,0.377,100,1250.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0,100,978.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.03,100,1043.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.06,100,1089.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.09,100,1123.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.13,100,1157.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.17,100,1182.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.211,100,1201.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.25,100,1216.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.291,100,1228.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.332,100,1238.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,343.15,0.377,100,1247.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0,100,974.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.03,100,1039.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.06,100,1086,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.09,100,1120.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.13,100,1154.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.17,100,1178.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.211,100,1198.3,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.25,100,1212.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.291,100,1225,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.332,100,1234.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,348.15,0.377,100,1243.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
