setid,"MolaLity of 2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol, mol/kg","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AMRbs,0.0488,0.1309,85.9,298.15,958.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0496,0.0233,85.9,298.15,949.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0677,0.3224,85.9,298.15,974,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0689,0.1309,85.9,298.15,959.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.069,0,85.9,298.15,947.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.071,0.0233,85.9,298.15,950.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0868,0.3224,85.9,298.15,974.8,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0872,0.1309,85.9,298.15,959.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0916,0,85.9,298.15,948.6,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0986,0.0233,85.9,298.15,951.6,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1067,0.1309,85.9,298.15,960.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1092,0.3224,85.9,298.15,975.8,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1242,0.3224,85.9,298.15,976.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1268,0.1309,85.9,298.15,961.8,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1294,0,85.9,298.15,950.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.13,0.0233,85.9,298.15,953.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1452,0.0233,85.9,298.15,953.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1456,0.3224,85.9,298.15,977.4,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1459,0.1309,85.9,298.15,962.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1492,0,85.9,298.15,951.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1639,0.3224,85.9,298.15,978.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1648,0.1309,85.9,298.15,963.6,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.169,0,85.9,298.15,952.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1715,0.0233,85.9,298.15,955.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1802,0.3224,85.9,298.15,978.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1847,0.0233,85.9,298.15,955.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1885,0.1309,85.9,298.15,964.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.1889,0,85.9,298.15,953.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.2087,0,85.9,298.15,954.4,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.2136,0.0233,85.9,298.15,957.3,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
