setid,"Temperature, K",Mole fraction of propylammonium formate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pkWWO,298.15,0.7544,100,1001.31,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.8964,100,996.42,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.9495,100,994.93,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,1,100,993.4,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.0974,100,1022.24,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.1992,100,1025.06,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.3006,100,1021.44,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.3936,100,1017.06,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.4816,100,1012.25,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.571,100,1007.18,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.7162,100,1000.27,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.7544,100,998.6,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.8964,100,993.71,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,0.9495,100,992.2,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,303.15,1,100,990.8,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.0974,100,1019.64,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.1992,100,1022.21,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.3006,100,1018.59,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.3936,100,1014.23,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.4816,100,1009.43,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.571,100,1004.34,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.7162,100,997.55,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.7544,100,995.89,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.8964,100,991.01,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,0.9495,100,989.49,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,308.15,1,100,988.1,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.0974,100,1016.97,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.1992,100,1019.28,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.3006,100,1015.73,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.3936,100,1011.4,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.4816,100,1006.59,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.571,100,1001.63,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.7162,100,994.84,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.7544,100,993.18,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.8964,100,988.32,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,0.9495,100,986.79,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,313.15,1,100,985.4,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.0974,100,1014.24,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.1992,100,1016.4,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.3006,100,1012.85,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.3936,100,1008.56,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.4816,100,1003.77,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.571,100,998.84,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.7162,100,992.13,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.7544,100,990.48,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.8964,100,985.64,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,0.9495,100,984.09,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,318.15,1,100,982.7,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.0974,100,1011.44,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.1992,100,1013.56,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.3006,100,1009.96,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.3936,100,1005.72,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.4816,100,1000.94,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.571,100,996.13,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.7162,100,989.42,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.7544,100,987.78,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.8964,100,982.96,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,0.9495,100,981.41,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,323.15,1,100,980.1,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.0974,100,1008.59,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.1992,100,1010.63,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.3006,100,1007.06,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.3936,100,1002.86,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.4816,100,998.1,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.571,100,993.37,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.7162,100,986.7,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.7544,100,985.08,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.8964,100,980.29,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,0.9495,100,978.73,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,328.15,1,100,977.4,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.0974,100,1005.67,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.1992,100,1007.66,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.3006,100,1004.14,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.3936,100,999.99,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.4816,100,995.25,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.571,100,990.62,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.7162,100,983.99,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.7544,100,982.38,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.8964,100,977.62,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,0.9495,100,976.05,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,333.15,1,100,974.8,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
