setid,"Temperature, K",Mole ratio to solvent: aluminum chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mMmwg,323.15,1.75,101.3,1336.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,325.15,2,101.3,1354.4,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,326.65,1.5,101.3,1319.4,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,332.15,1,101.3,1254.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,333.65,2,101.3,1347.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,334.65,0.8,101.3,1239.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,334.65,0.9,101.3,1248.4,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,335.15,1.3,101.3,1284.3,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,335.15,1.5,101.3,1303.2,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,335.15,1.75,101.3,1327.3,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,340.15,2,101.3,1341.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,341.65,1.5,101.3,1299.9,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,342.15,0.9,101.3,1241.9,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,343.15,1,101.3,1244.6,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,343.65,0.8,101.3,1231.6,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,344.65,1.3,101.3,1274.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,344.65,1.75,101.3,1316.5,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,347.65,2,101.3,1335.9,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,349.15,1.5,101.3,1293.9,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,354.15,1,101.3,1239,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,355.15,0.8,101.3,1223.5,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,355.15,0.9,101.3,1230.1,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,355.15,1.3,101.3,1268.7,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,355.15,1.75,101.3,1307.5,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,355.15,2,101.3,1324.5,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,360.15,1.5,101.3,1282.3,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,363.65,2,101.3,1317,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,365.65,1,101.3,1229.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,371.15,0.8,101.3,1211.2,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,371.15,2,101.3,1312.7,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,372.15,0.9,101.3,1216.8,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,372.15,1.3,101.3,1256,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,372.15,1.5,101.3,1273.6,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
mMmwg,372.15,1.75,101.3,1292,Elterman et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,,,
