setid,"Temperature, K","MolaRity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/dm3","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dLJXG,338.15,0.0064,100,0.29,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.0108,100,0.41,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.0179,100,0.48,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.0275,100,0.62,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.0357,100,0.71,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.0426,100,0.69,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.054,100,0.9,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.0765,100,0.87,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.0811,100,1.07,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,338.15,0.1178,100,1.22,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.00628,100,0.2,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.0106,100,0.31,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.0175,100,0.41,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.027,100,0.56,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.0351,100,0.67,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.0419,100,0.75,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.0531,100,0.93,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.0752,100,0.92,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.0796,100,1.25,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,358.15,0.1156,100,1.36,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
