setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,Mole fraction of dimethylformamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YEGFw,303.15,0.1013,0.7982,100,1050.3,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.134,0.7536,100,1078.7,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.1631,0.7126,100,1102.39,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.2007,0.6611,100,1130.1,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.2345,0.6135,100,1152.32,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.2708,0.5624,100,1174.04,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.3098,0.5074,100,1194.89,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.3343,0.469,100,1207.56,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.3766,0.4128,100,1226.73,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.4061,0.3633,100,1239.37,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.4352,0.3179,100,1250.93,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.4767,0.2567,100,1267.72,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.5094,0.2057,100,1280.36,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.535,0.1852,100,1288.67,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.5619,0.1637,100,1297.3,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.6035,0.1248,100,1310.6,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.6337,0.1005,100,1319.2,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.6678,0.0847,100,1327,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.704,0.0679,100,1334.6,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.7396,0.0398,100,1343.2,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.7714,0.0306,100,1348.4,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.7924,0.0208,100,1352.5,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,308.15,0.034,0.8948,100,980.23,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,308.15,0.0662,0.8449,100,1013.72,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,308.15,0.1013,0.7982,100,1046.1,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,308.15,0.134,0.7536,100,1074.6,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,308.15,0.1631,0.7126,100,1098.21,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,308.15,0.2007,0.6611,100,1126.1,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,308.15,0.2345,0.6135,100,1148.21,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
