setid,"Temperature, K","MolaLity of tetradecyltrimethylammonium nitrate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Sxzcx,293.15,0.001167,101.325,998.199,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.001528,101.325,998.198,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.001958,101.325,998.196,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.002447,101.325,998.194,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.003049,101.325,998.193,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.004374,101.325,998.172,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.006177,101.325,998.153,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.008738,101.325,998.117,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.009946,101.325,998.095,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.01207,101.325,998.067,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.01514,101.325,998.021,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.018042,101.325,997.986,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,293.15,0.01992,101.325,997.958,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.001167,101.325,997.037,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.001528,101.325,997.035,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.001958,101.325,997.032,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.002447,101.325,997.03,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.003049,101.325,997.026,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.004374,101.325,997.004,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.006177,101.325,996.983,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.008738,101.325,996.945,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.009946,101.325,996.923,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.01207,101.325,996.892,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.01514,101.325,996.841,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.018042,101.325,996.805,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,298.15,0.01992,101.325,996.777,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.001167,101.325,995.636,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.001528,101.325,995.633,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.001958,101.325,995.63,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.002447,101.325,995.626,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.003049,101.325,995.622,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.004374,101.325,995.599,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.006177,101.325,995.576,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.008738,101.325,995.536,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.009946,101.325,995.513,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.01207,101.325,995.48,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.01514,101.325,995.426,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.018042,101.325,995.387,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,303.15,0.01992,101.325,995.359,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.001167,101.325,994.018,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.001528,101.325,994.015,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.001958,101.325,994.011,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.002447,101.325,994.006,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.003049,101.325,994.001,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.004374,101.325,993.978,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.006177,101.325,993.954,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.008738,101.325,993.911,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.009946,101.325,993.884,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.01207,101.325,993.85,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.01514,101.325,993.795,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.018042,101.325,993.754,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,308.15,0.01992,101.325,993.724,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
