setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rycud,298.15,0.4022,0.2978,100,1037,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.5059,0.2451,100,1062,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.6002,0.1998,100,1087,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.7002,0.1498,100,1116,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.8002,0.0998,100,1139,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.9028,0.0472,100,1182,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.1089,0.4411,100,953,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.2062,0.3938,100,974,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.3059,0.3441,100,1002,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.4022,0.2978,100,1030,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.5059,0.2451,100,1054,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.6002,0.1998,100,1080,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.7002,0.1498,100,1107,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.8002,0.0998,100,1131,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,303.15,0.9028,0.0472,100,1174,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.1089,0.4411,100,942,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.2062,0.3938,100,963,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.3059,0.3441,100,989,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.4022,0.2978,100,1016,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.5059,0.2451,100,1042,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.6002,0.1998,100,1067,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.7002,0.1498,100,1094,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.8002,0.0998,100,1117,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,313.15,0.9028,0.0472,100,1162,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.1089,0.4411,100,934,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.2062,0.3938,100,952,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.3059,0.3441,100,976,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.4022,0.2978,100,1004,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.5059,0.2451,100,1031,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.6002,0.1998,100,1056,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.7002,0.1498,100,1083,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.8002,0.0998,100,1105,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,323.15,0.9028,0.0472,100,1150,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.1089,0.4411,100,925,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.2062,0.3938,100,941,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.3059,0.3441,100,964,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.4022,0.2978,100,990,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.5059,0.2451,100,1020,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.6002,0.1998,100,1043,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.7002,0.1498,100,1071,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.8002,0.0998,100,1094,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,333.15,0.9028,0.0472,100,1137,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
