setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QVsWE,308.15,0.00905,86,0.7,1015.2,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.01773,86,0.7,1015.5,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.0213,86,0.7,1015.6,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.02926,86,0.7,1015.9,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.03272,86,0.7,1016,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.03749,86,0.7,1016.1,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.041,86,0.7,1016.2,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.05418,86,0.7,1016.6,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.06363,86,0.7,1016.8,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.07864,86,0.7,1017.2,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.12306,86,0.7,1018.3,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.17586,86,0.7,1019.6,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.23161,86,0.7,1020.9,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
QVsWE,308.15,0.28628,86,0.7,1022.2,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
