setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium glycinate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lDEVl,303.15,0.4004,100,1062.8,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.4994,100,1085.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.6,100,1102.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.6997,100,1116.1,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.8001,100,1127.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.9,100,1136.1,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,1,100,1143.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0,100,778.67,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.1002,100,910.63,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.2001,100,982.8,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.2997,100,1027.5,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.4004,100,1059.7,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.4994,100,1082.3,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.6,100,1099.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.6997,100,1113.1,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.8001,100,1124.5,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,0.9,100,1133.2,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,308.15,1,100,1140.6,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0,100,773.93,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.1002,100,906.78,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.2001,100,979.34,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.2997,100,1024.3,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.4004,100,1056.5,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.4994,100,1079.3,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.6,100,1096.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.6997,100,1110.2,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.8001,100,1121.6,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,0.9,100,1130.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,313.15,1,100,1137.8,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0,100,769.14,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.1002,100,902.93,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.2001,100,975.88,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.2997,100,1021,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.4004,100,1053.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.4994,100,1076.2,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.6,100,1093.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.6997,100,1107.3,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.8001,100,1118.8,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,0.9,100,1127.5,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,318.15,1,100,1135,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0,100,764.2,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.1002,100,899.07,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.2001,100,972.43,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.2997,100,1017.8,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.4004,100,1050.3,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.4994,100,1073.2,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.6,100,1090.5,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.6997,100,1104.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.8001,100,1115.9,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,0.9,100,1124.7,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,323.15,1,100,1132.2,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
