setid,"Temperature, K","MolaLity of 3-carboxylpyridine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MnPdR,293.15,0.09,0.1,100,1004.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0,0,100,997.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0,0.05,100,999.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0,0.1,100,1001.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0,0.15,100,1004.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0149,0,100,997.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0149,0.05,100,999.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.015,0.1,100,1002,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0151,0.15,100,1004.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0299,0.1,100,1002.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0299,0.15,100,1004.4,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0301,0,100,998.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0301,0.05,100,1000.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0449,0,100,999.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0449,0.05,100,1001,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0451,0.1,100,1002.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0451,0.15,100,1004.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0601,0.05,100,1001.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0601,0.1,100,1003,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0601,0.15,100,1004.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0602,0,100,999.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.075,0.05,100,1002.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.075,0.1,100,1003.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.075,0.15,100,1004.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0751,0,100,1000.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.0899,0.15,100,1004.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.09,0,100,1001.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.09,0.05,100,1002.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,298.15,0.09,0.1,100,1003.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0,0,100,995.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0,0.05,100,997.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0,0.1,100,1000,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0,0.15,100,1002.2,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0149,0,100,996.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0149,0.05,100,998.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.015,0.1,100,1000.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0151,0.15,100,1002.4,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0299,0.1,100,1000.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0299,0.15,100,1002.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0301,0,100,997,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0301,0.05,100,999,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0449,0,100,997.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0449,0.05,100,999.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0451,0.1,100,1000.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0451,0.15,100,1002.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0601,0.05,100,1000.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0601,0.1,100,1001.2,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0601,0.15,100,1002.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0602,0,100,998.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.075,0.05,100,1000.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.075,0.1,100,1001.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.075,0.15,100,1002.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0751,0,100,998.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.0899,0.15,100,1002.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.09,0,100,999.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.09,0.05,100,1001.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,303.15,0.09,0.1,100,1001.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0,0,100,994,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0,0.05,100,996.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0,0.1,100,998.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0,0.15,100,1000.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0149,0,100,994.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0149,0.05,100,997.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.015,0.1,100,998.4,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0151,0.15,100,1001,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0299,0.1,100,998.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0299,0.15,100,1001.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0301,0,100,995.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0301,0.05,100,997.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0449,0,100,995.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0449,0.05,100,998.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0451,0.1,100,999,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0451,0.15,100,1001.2,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,308.15,0.0601,0.05,100,998.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
