setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cgTNh,298.15,0.1004,100,911,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.1203,100,930,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.1594,100,963,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.2032,100,994,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.3007,100,1049,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.3994,100,1091,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.5013,100,1124,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.5994,100,1150,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.7006,100,1172,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.8011,100,1189,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.8988,100,1204,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,1,100,1217,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0,100,781,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.0202,100,812,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.0402,100,840,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.0802,100,887,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.1004,100,907,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.1203,100,926,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.1594,100,959,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.2032,100,990,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.3007,100,1045,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.3994,100,1087,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.5013,100,1120,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.5994,100,1147,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.7006,100,1168,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.8011,100,1186,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,0.8988,100,1200,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,303.15,1,100,1214,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0,100,777,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.0202,100,808,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.0402,100,836,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.0802,100,883,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.1004,100,903,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.1203,100,922,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.1594,100,955,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.2032,100,986,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.3007,100,1041,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.3994,100,1083,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.5013,100,1117,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.5994,100,1143,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.7006,100,1165,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.8011,100,1182,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,0.8988,100,1197,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,308.15,1,100,1210,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0,100,772,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.0202,100,804,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.0402,100,831,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.0802,100,879,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.1004,100,899,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.1203,100,918,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.1594,100,951,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.2032,100,982,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.3007,100,1038,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.3994,100,1080,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.5013,100,1113,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.5994,100,1140,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.7006,100,1161,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.8011,100,1179,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,0.8988,100,1194,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,313.15,1,100,1207,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0,100,768,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.0202,100,799,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.0402,100,827,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.0802,100,875,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.1004,100,895,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.1203,100,914,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.1594,100,947,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.2032,100,979,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.3007,100,1034,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.3994,100,1076,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.5013,100,1110,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.5994,100,1136,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.7006,100,1158,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.8011,100,1176,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,0.8988,100,1190,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,318.15,1,100,1203,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0,100,763,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.0202,100,795,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.0402,100,823,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.0802,100,871,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.1004,100,891,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.1203,100,911,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.1594,100,943,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.2032,100,975,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.3007,100,1030,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.3994,100,1073,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.5013,100,1106,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.5994,100,1133,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.7006,100,1154,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.8011,100,1172,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,0.8988,100,1187,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,323.15,1,100,1200,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0,100,759,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.0202,100,791,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
