setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrachloroferrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ASEhk,298.15,0.5,101,1244.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.6001,101,1277.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.7,101,1304.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.7973,101,1327.1,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,0.9,101,1346.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,298.15,1,101,1365,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0,101,888.4,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.1002,101,1004.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.1999,101,1085.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.3007,101,1151.1,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.3999,101,1201,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.5,101,1240.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.6001,101,1272.9,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.7,101,1300.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.7973,101,1323,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,0.9,101,1342.3,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,303.15,1,101,1360.9,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0,101,882.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.1002,101,999.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.1999,101,1080.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.3007,101,1146.3,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.3999,101,1196.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.5,101,1235.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.6001,101,1268.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.7,101,1296.3,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.7973,101,1318.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,0.9,101,1338.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,308.15,1,101,1356.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0,101,876,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.1002,101,993.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.1999,101,1075.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.3007,101,1141.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.3999,101,1191.9,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.5,101,1231.4,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.6001,101,1264.2,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.7,101,1292.1,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.7973,101,1314.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,0.9,101,1334.1,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,313.15,1,101,1352.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0,101,869.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.1002,101,988.4,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.1999,101,1070.3,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.3007,101,1136.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.3999,101,1187.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.5,101,1227,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.6001,101,1260,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.7,101,1287.9,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.7973,101,1310.5,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,0.9,101,1330,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,318.15,1,101,1348.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0,101,863.4,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.1002,101,983.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.1999,101,1065,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.3007,101,1132,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.3999,101,1182.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.5,101,1222.6,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.6001,101,1255.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.7,101,1283.7,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.7973,101,1306.4,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,0.9,101,1326,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
ASEhk,323.15,1,101,1344.8,Li et al. (2017c),Density,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
