setid,"Temperature, K","MolaLity of 1,1,3,3-tetramethylguanidinium phenylacetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ymWsO,308.15,0.02038,100,994.6,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,308.15,0.04875,100,995.4,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,308.15,0.07975,100,996.2,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,308.15,0.09927,100,996.7,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,308.15,0.15002,100,998,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,308.15,0.19964,100,999.3,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,313.15,0.00986,100,992.4,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,313.15,0.02038,100,992.7,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,313.15,0.04875,100,993.5,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,313.15,0.07975,100,994.3,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,313.15,0.09927,100,994.8,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,313.15,0.15002,100,996.1,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,313.15,0.19964,100,997.3,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,318.15,0.00986,100,990.4,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,318.15,0.02038,100,990.7,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,318.15,0.04875,100,991.5,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,318.15,0.07975,100,992.3,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,318.15,0.09927,100,992.8,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,318.15,0.15002,100,994,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
ymWsO,318.15,0.19964,100,995.2,Das et al. (2017),Density,Liquid,AAwRyW,CN(C)C(=[NH2+])N(C)C.O=C([O-])Cc1ccccc1,"1,1,3,3-tetramethylguanidinium phenylacetate",AADYJk,O,water,,,
