setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WtAVr,298.15,0.3,101,974.422,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.4,101,1000.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.5,101,1017.52,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.5999,101,1031.41,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.7,101,1042.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.8,101,1051.7,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,0.8999,101,1060,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,298.15,1,101,1067.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0,101,781.313,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.1,101,876.732,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.2,101,932.694,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.3,101,971.201,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.4,101,997.714,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.5,101,1014.43,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.5999,101,1028.36,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.7,101,1039.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.8,101,1048.7,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,0.8999,101,1057.1,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,303.15,1,101,1064.9,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0,101,776.961,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.1,101,873.026,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.2,101,929.294,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.3,101,967.983,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.4,101,994.621,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.5,101,1011.38,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.5999,101,1025.3,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.7,101,1036.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.8,101,1045.7,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,0.8999,101,1054.2,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,308.15,1,101,1062,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0,101,772.569,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.1,101,869.305,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.2,101,925.891,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.3,101,964.764,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.4,101,991.526,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.5,101,1008.39,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.5999,101,1022.28,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.7,101,1033.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.8,101,1042.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,0.8999,101,1051.2,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,313.15,1,101,1059.1,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0,101,768.129,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.1,101,865.569,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.2,101,922.481,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.3,101,961.547,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.4,101,988.431,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.5,101,1005.38,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.5999,101,1019.32,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.7,101,1030.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.8,101,1039.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,0.8999,101,1048.3,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,318.15,1,101,1056.2,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0,101,763.643,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.1,101,861.812,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.2,101,919.065,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.3,101,958.33,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.4,101,985.334,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.5,101,1002.36,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.5999,101,1016.34,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.7,101,1027.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.8,101,1036.9,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,0.8999,101,1045.4,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
WtAVr,323.15,1,101,1053.3,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAsZfw,C[N+](C)(C)CCO.O=C([O-])C1CCCCC1,"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",,,
