setid,"MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of L-leucine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Mgbzd,0.5,0.09233,298.15,101,1016.35,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,0.5,0.11127,298.15,101,1016.71,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0,298.15,101,1027.47,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0.05281,298.15,101,1028.38,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0.0624,298.15,101,1028.54,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0.06702,298.15,101,1028.63,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0.08316,298.15,101,1028.88,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0.08504,298.15,101,1028.92,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0.10782,298.15,101,1029.32,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
Mgbzd,1,0.11602,298.15,101,1029.45,Singh et al. (2004),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
