setid,"Temperature, K","MolaLity of N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YoLtq,318.15,2.3753,101,1244,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,323.15,0,101,763.9,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,323.15,0.4751,101,846.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,323.15,0.9501,101,929,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,323.15,1.4252,101,1028.8,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,323.15,1.9002,101,1130.7,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,323.15,2.3753,101,1241.3,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,328.15,0,101,759.2,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,328.15,0.4751,101,840.6,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,328.15,0.9501,101,924.6,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,328.15,1.4252,101,1025.3,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,328.15,1.9002,101,1127.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
YoLtq,328.15,2.3753,101,1238,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AAGIBL,CO,methanol,,,
