setid,"Temperature, K",Weight fraction of butanoic acid,Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oHykh,310.15,0.419,0.0461,100,918.7,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.0509,0.106,100,893.8,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.0997,0.0748,100,893,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.143,0.0499,100,892.5,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.184,0.0342,100,894.4,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.215,0.0311,100,896.9,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.245,0.029,100,899.4,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.308,0.0361,100,903.7,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.354,0.0377,100,906.8,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
oHykh,318.15,0.412,0.0464,100,911.8,Martak and Schlosser (2016),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
