setid,Mole fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WtIyP,0.1963,308.15,101,1377.2,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.3011,298.15,101,1366.83,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.3011,303.15,101,1362.18,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.3011,308.15,101,1357.53,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.3959,298.15,101,1344.87,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.3959,303.15,101,1340.17,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.3959,308.15,101,1335.49,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.4982,298.15,101,1314.96,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.4982,303.15,101,1310.24,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.4982,308.15,101,1305.52,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.599,298.15,101,1276.24,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.599,303.15,101,1271.51,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.599,308.15,101,1266.75,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.6829,298.15,101,1233.04,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.6829,303.15,101,1228.28,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.6829,308.15,101,1223.51,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.7355,298.15,101,1198.51,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.7355,303.15,101,1193.74,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
