setid,"Temperature, K","MolaRity of hexyltrimethylammonium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XBaIH,298.15,0.147,101.3,1001.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.1919,101.3,1003.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.242,101.3,1005.2,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.277,101.3,1006.3,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.3223,101.3,1007.7,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.3705,101.3,1009.3,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.4137,101.3,1010.9,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.4524,101.3,1012,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.4969,101.3,1013.8,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.5451,101.3,1015.4,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.5993,101.3,1017,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.6159,101.3,1017.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.6638,101.3,1019.3,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.6965,101.3,1020.3,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.7291,101.3,1021.4,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.7755,101.3,1023.1,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.805,101.3,1024.2,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,298.15,0.8476,101.3,1025.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,303.15,0.242,101.3,1003.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,303.15,0.6638,101.3,1017.7,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,308.15,0.242,101.3,1001.6,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,318.15,0.242,101.3,996.8,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,328.15,0.242,101.3,992.7,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
XBaIH,338.15,0.242,101.3,987.9,Rohman et al. (2022),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
