setid,"Temperature, K","MolaLity of N-ethyl-N-methylpiperidinium bromide, mol/kg","MolaLity of 1-methyl-1-propylpiperidinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fBJWN,298.15,0.2487,0.2514,101,1017.51,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,0.3334,0.1666,101,1017.7,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,0.5003,0.9998,101,1051.46,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,0.7502,0.7499,101,1052,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,0.8002,1.5995,101,1076.68,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,1.0001,0.4999,101,1052.53,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,1.2004,1.1994,101,1077.54,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,298.15,1.5996,0.8003,101,1078.4,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,0.1664,0.3336,101,1015.61,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,0.2487,0.2514,101,1015.89,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,0.3334,0.1666,101,1016.07,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,0.5003,0.9998,101,1049.43,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,0.7502,0.7499,101,1049.95,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,0.8002,1.5995,101,1074.31,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,1.0001,0.4999,101,1050.49,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,1.2004,1.1994,101,1075.16,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,303.15,1.5996,0.8003,101,1076.04,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,0.1664,0.3336,101,1014.15,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,0.2487,0.2514,101,1014.36,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,0.3334,0.1666,101,1014.61,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,0.5003,0.9998,101,1047.46,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,0.7502,0.7499,101,1047.92,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,0.8002,1.5995,101,1072.03,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,1.0001,0.4999,101,1048.47,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,1.2004,1.1994,101,1072.92,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
fBJWN,308.15,1.5996,0.8003,101,1073.81,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide
