setid,Mole fraction of choline bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TzhDH,0.1,328.2,100,1169,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,333.2,100,1166.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,338.2,100,1163.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,343.2,100,1160.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.1,348.2,100,1157.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,293.2,100,1231.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,298.2,100,1228.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,303.2,100,1226.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,308.2,100,1223.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,313.2,100,1220.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,318.2,100,1218,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,323.2,100,1215.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,328.2,100,1212.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,333.2,100,1209.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,338.2,100,1206.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,343.2,100,1203.8,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.149,348.2,100,1200.9,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,293.2,100,1266.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,298.2,100,1263.8,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,303.2,100,1261.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,308.2,100,1258.3,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,313.2,100,1255.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,318.2,100,1252.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,323.2,100,1249.9,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,328.2,100,1247.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,333.2,100,1244.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,338.2,100,1241.3,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,343.2,100,1238.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.199,348.2,100,1235.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,293.2,100,1292.8,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,298.2,100,1290,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,303.2,100,1287.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,308.2,100,1284.3,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,313.2,100,1281.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,318.2,100,1278.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,323.2,100,1275.8,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,328.2,100,1273,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,333.2,100,1270.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,338.2,100,1267.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,343.2,100,1264.3,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.248,348.2,100,1261.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,293.2,100,1314.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,298.2,100,1311.3,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,303.2,100,1308.4,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,308.2,100,1305.5,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,313.2,100,1302.7,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,318.2,100,1299.8,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,323.2,100,1296.9,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,328.2,100,1294,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,333.2,100,1291,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,338.2,100,1288.1,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,343.2,100,1285.2,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
TzhDH,0.3,348.2,100,1282.3,Vilas-Boas et al. (2020),Density,Liquid,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,AADYJk,O,water,,,
