setid,"Temperature, K",Mole fraction of 1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MqGqO,313.15,0.0122,1011.46,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,313.15,0.0453,1053.3,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,313.15,0.0997,1100.22,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,313.15,0.2054,1129.28,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,313.15,0.3071,1179.87,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,318.15,0.0122,1009.27,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,318.15,0.0453,1050.94,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,318.15,0.0997,1097.68,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,318.15,0.2054,1126.66,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,318.15,0.3071,1177.16,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,323.15,0.0122,1005.9,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,323.15,0.0453,1048.46,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,323.15,0.0997,1095.08,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,323.15,0.2054,1123.99,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,323.15,0.3071,1174.45,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
