setid,"Temperature, K","MolaRity of ammonium chloride (NH4Cl), mol/dm3","Solvent: MolaRity of N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PbxkO,328.15,0.01,0.005,101,986.083,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,328.15,0.025,0.005,101,986.346,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,328.15,0.05,0.005,101,986.756,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,333.15,0.005,0.005,101,983.504,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,333.15,0.01,0.005,101,983.577,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,333.15,0.025,0.005,101,983.842,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,333.15,0.05,0.005,101,984.254,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,338.15,0.005,0.005,101,980.846,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,338.15,0.01,0.005,101,980.924,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,338.15,0.025,0.005,101,981.19,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,338.15,0.05,0.005,101,981.607,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,343.15,0.005,0.005,101,978.051,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,343.15,0.01,0.005,101,978.129,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,343.15,0.025,0.005,101,978.398,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
PbxkO,343.15,0.05,0.005,101,978.819,Alam and Siddiq (2017),Density,Liquid,ACueYW,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl)
