setid,"Temperature, K","Pressure, kPa","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AzHCg,323.1,27450,0.0501,4.85,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.1503,13.81,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.1503,13.92,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.3007,27.24,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.3007,27.49,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0249,2.24,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0249,2.24,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0249,2.25,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0249,2.26,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0249,2.27,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0506,4.54,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0506,4.54,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0506,4.55,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.0506,4.56,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.1482,13.16,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.1482,13.17,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.1482,13.24,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.3003,25.98,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.3003,26.32,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.3003,26.38,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,1120,0.3003,26.38,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.025,2.27,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.025,2.28,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.025,2.3,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.025,2.33,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0253,2.28,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0253,2.3,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0253,2.3,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0253,2.32,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0496,4.46,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0496,4.49,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0496,4.53,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.0496,4.56,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.05,4.51,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.05,4.52,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.05,4.53,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.05,4.53,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.1494,13.31,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.1494,13.32,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.1494,13.41,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.1494,13.43,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.15,13.39,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.15,13.43,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.15,13.43,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.15,13.46,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.2934,25.89,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.2934,25.94,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.2934,25.95,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.2934,25.97,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.3004,26.48,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.3004,26.5,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.3004,26.51,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,373.2,27460,0.3004,26.52,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.4,2640,0.0254,2.18,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.4,2640,0.0254,2.23,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.4,2640,0.0502,4.31,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.4,2640,0.151,12.71,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.4,2640,0.151,12.83,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.4,2640,0.302,25.08,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.4,2640,0.302,25.13,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.025,2.26,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.025,2.35,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.0501,4.34,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.0501,4.4,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.0501,4.63,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.1503,12.62,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.1503,13.48,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.3007,25.48,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,473.5,28520,0.3007,25.59,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.023,2.12,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.023,2.18,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.046,4.05,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.046,4.12,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.1377,11.95,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.1377,12.29,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.1377,12.3,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.275,23.32,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.275,23.38,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523,28040,0.275,23.47,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0251,2.32,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0251,2.35,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0251,2.35,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0251,2.38,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0502,4.61,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0502,4.62,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0502,4.63,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.0502,4.71,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.15,13.33,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.15,13.36,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.15,13.39,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.15,13.44,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.3,25.98,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.3,26.14,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.3,26.15,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,523.2,10460,0.3,26.15,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.2,10570,0.0252,2.72,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.2,10570,0.0252,2.76,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.2,10570,0.0502,5.43,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.2,10570,0.0502,5.44,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.2,10570,0.1498,15.52,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.2,10570,0.1498,15.55,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.2,10570,0.1498,15.64,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.023,2.36,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.023,2.45,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.023,2.47,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.023,2.61,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.046,4.51,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.046,4.62,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.046,4.64,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,573.9,27670,0.046,4.65,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
