setid,"Temperature, K","MolaLity of 1-hexyl-1-methylpyrrolidinium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GOmnC,308.15,0.19996,100,786.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,308.15,0.24939,100,791.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,308.15,0.29756,100,796.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,308.15,0.34917,100,801.7,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,308.15,0.40024,100,806.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.04806,100,765.7,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.09982,100,771,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.15144,100,776.3,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.19996,100,781.3,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.24939,100,786.3,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.29756,100,791.2,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.34917,100,796.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,313.15,0.40024,100,801.7,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.04806,100,760.2,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.09982,100,765.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.15144,100,770.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.19996,100,775.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.24939,100,781,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.29756,100,786,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.34917,100,791.4,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,318.15,0.40024,100,796.7,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.04806,100,754.6,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.09982,100,760,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.15144,100,765.4,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.19996,100,770.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.24939,100,775.6,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.29756,100,780.6,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.34917,100,786,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,323.15,0.40024,100,791.3,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.04806,100,749.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.09982,100,754.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.15144,100,759.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.19996,100,765,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.24939,100,770.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.29756,100,775.2,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.34917,100,780.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,328.15,0.40024,100,785.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
