setid,"Temperature, K",Mole fraction of n-butylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OGAlL,298.15,0,101,786.54,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.0999,101,880.73,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.1998,101,940.97,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.3012,101,983.43,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.4005,101,1013.11,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.5015,101,1036.5,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.6507,101,1062.2,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.8007,101,1082,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,0.9007,101,1093,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,298.15,1,101,1101.5,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0,101,781.81,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.0999,101,876.67,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.1998,101,937.17,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.3012,101,979.82,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.4005,101,1009.64,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.5015,101,1033.2,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.6507,101,1059,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.8007,101,1078.8,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,0.9007,101,1089.9,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,303.15,1,101,1098.4,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0,101,777.05,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.0999,101,872.57,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.1998,101,933.38,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.3012,101,976.23,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.4005,101,1006.18,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.5015,101,1029.8,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.6507,101,1055.7,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.8007,101,1075.6,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,0.9007,101,1086.7,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,308.15,1,101,1095.3,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0,101,772.25,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.0999,101,868.45,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.1998,101,929.59,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.3012,101,972.64,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.4005,101,1002.74,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.5015,101,1026.5,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.6507,101,1052.5,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.8007,101,1072.5,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,0.9007,101,1083.6,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,313.15,1,101,1092.2,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
