setid,"Temperature, K","MolaLity of tetrabutylphosphonium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PMWru,308.15,0.898,100,817.382,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.996,100,821.759,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0,100,760.554,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.1024,100,767.8,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.2014,100,774.403,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.2967,100,780.426,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.402,100,786.749,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.4963,100,792.13,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.5996,100,797.717,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.6977,100,802.802,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.7993,100,807.775,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.898,100,812.424,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,313.15,0.996,100,816.832,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0,100,755.025,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.1024,100,762.341,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.2014,100,769.013,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.2967,100,775.102,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.402,100,781.489,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.4963,100,786.925,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.5996,100,792.584,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.6977,100,797.72,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.7993,100,802.748,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.898,100,807.438,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,318.15,0.996,100,811.897,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0,100,749.462,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.1024,100,756.848,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.2014,100,763.588,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.2967,100,769.74,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.402,100,776.189,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.4963,100,781.69,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.5996,100,787.393,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.6977,100,792.583,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.7993,100,797.692,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.898,100,802.435,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,323.15,0.996,100,806.957,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
