setid,"Temperature, K",Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PhEPz,338.15,0.0026,101,1242.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,338.15,0.0048,101,1242,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,338.15,0.0065,101,1241,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,338.15,0.008,101,1240.5,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,338.15,0.0091,101,1239.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,343.15,0.0004,101,1241.1,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,343.15,0.0026,101,1239.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,343.15,0.0048,101,1239,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,343.15,0.0065,101,1238.2,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,343.15,0.008,101,1237.7,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,343.15,0.0091,101,1237.1,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
