setid,"Temperature, K",Mole fraction of 1-butyl-3-ethylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KVOSk,308.15,0.765,100,1247.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.7897,100,1247.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.8941,100,1250.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,1,100,1252.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0,100,992.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.0508,100,1086.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.0989,100,1133.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.2035,100,1186.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.2952,100,1209.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.3401,100,1216.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.3992,100,1224.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.47,100,1230.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.5253,100,1234.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.5747,100,1237.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.671,100,1241,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.765,100,1243.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,313.15,0.7897,100,1244.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
