setid,Mole fraction of propan-2-ol,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tIEgx,0.0907,0.2737,298.15,101,1208.6,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0925,0.881,298.15,101,1008.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0949,0.1426,298.15,101,1214.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1066,0.8498,298.15,101,1027,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1126,0.6808,298.15,101,1136.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1209,0.8165,298.15,101,1042.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1225,0.8699,298.15,101,960.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1346,0.8492,298.15,101,971.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1434,0.7686,298.15,101,1057,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1486,0.8265,298.15,101,979.8,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1684,0.791,298.15,101,994.3,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1722,0.7044,298.15,101,1071.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.186,0.4128,298.15,101,1160.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1902,0.2437,298.15,101,1181.8,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1919,0.7505,298.15,101,1006,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.1967,0.7884,298.15,101,943.1,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2002,0.126,298.15,101,1189.6,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.213,0.764,298.15,101,950.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2231,0.6971,298.15,101,1016.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2236,0.5957,298.15,101,1085.3,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.24,0.7229,298.15,101,961.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2632,0.6269,298.15,101,1027.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2695,0.6784,298.15,101,969.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2845,0.2154,298.15,101,1153.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2891,0.6901,298.15,101,920.6,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.2964,0.1109,298.15,101,1163.3,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.3084,0.6205,298.15,101,978.1,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.3223,0.6446,298.15,101,928.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.331,0.5133,298.15,101,1037.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.3555,0.6325,298.15,101,888.4,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.3575,0.5968,298.15,101,934.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.3595,0.545,298.15,101,985.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.3755,0.3167,298.15,101,1090.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4012,0.5373,298.15,101,941.1,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4151,0.5563,298.15,101,897.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4354,0.4332,298.15,101,992.6,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4571,0.4619,298.15,101,946.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4723,0.2676,298.15,101,1051.1,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4839,0.1553,298.15,101,1082.1,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4843,0.0813,298.15,101,1100.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.4888,0.4963,298.15,101,863.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.5022,0.4466,298.15,101,905.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.533,0.3583,298.15,101,952.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.5641,0.4049,298.15,101,870.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.5715,0.2173,298.15,101,1008.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.5849,0.1249,298.15,101,1038.8,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.5934,0.399,298.15,101,835.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.6305,0.2835,298.15,101,914.4,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.6619,0.2877,298.15,101,875.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.6749,0.1649,298.15,101,959.6,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.6881,0.0939,298.15,101,988.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.6918,0.0486,298.15,101,1006.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.7683,0.1972,298.15,101,843.2,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.7943,0.0324,298.15,101,946.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.8792,0.1028,298.15,101,812.4,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.8849,0.0584,298.15,101,850,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.8921,0.0325,298.15,101,865.1,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
