setid,Solvent: Weight fraction of D-fructose,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GRtvK,0.05,298.15,0.0499,87,1018.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.1006,87,1020.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.1508,87,1022.5,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.2023,87,1024.4,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.2549,87,1026.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.3029,87,1027.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.3534,87,1029.5,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.4,87,1031,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.4523,87,1032.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,298.15,0.4984,87,1034.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.0499,87,1017.1,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.1006,87,1019,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.1508,87,1020.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.2023,87,1022.6,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.2549,87,1024.4,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.3029,87,1026,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.3534,87,1027.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.4,87,1029.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.4523,87,1030.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,303.15,0.4984,87,1032.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.0499,87,1015.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.1006,87,1017.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.1508,87,1018.9,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.2023,87,1020.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.2549,87,1022.4,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.3029,87,1024,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.3534,87,1025.6,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.4,87,1027,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.4523,87,1028.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,308.15,0.4984,87,1030,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.0499,87,1013.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.1006,87,1015.1,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.1508,87,1016.9,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.2023,87,1018.6,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.2549,87,1020.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.3029,87,1021.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.3534,87,1023.4,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.4,87,1024.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.4523,87,1026.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.05,313.15,0.4984,87,1027.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.0534,87,1040.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.1007,87,1042.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.1513,87,1044.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.2079,87,1046.9,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.2534,87,1048.5,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.3089,87,1050.6,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.3508,87,1052.1,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.4019,87,1053.9,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.4514,87,1055.6,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,293.15,0.4989,87,1057.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.0534,87,1039.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.1007,87,1041.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.1513,87,1043.1,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.2079,87,1045.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.2534,87,1046.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.3089,87,1048.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.3508,87,1050.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.4019,87,1052,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.4514,87,1053.7,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,298.15,0.4989,87,1055.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.0534,87,1037.5,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.1007,87,1039.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.1513,87,1041.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.2079,87,1043.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.2534,87,1044.9,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.3089,87,1046.8,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.3508,87,1048.2,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.4019,87,1049.9,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.4514,87,1051.6,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,303.15,0.4989,87,1053.1,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,308.15,0.0534,87,1035.6,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
GRtvK,0.1,308.15,0.1007,87,1037.3,Rafiee and Frouzesh (2017c),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
