setid,"Temperature, K","MolaLity of L-sorbose, mol/kg","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xCybL,298.15,0.11,0.0008,100,1004.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.1115,0.0004,100,1004.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.1278,0.0004,100,1005.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.129,0.0008,100,1005.6,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.1307,0.0012,100,1005.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.1511,0.0012,100,1007.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.152,0.0008,100,1007.2,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.1529,0.0004,100,1007.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0,0.0004,100,994.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0,0.0008,100,994.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0,0.0012,100,994.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0421,0.0004,100,996.8,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0494,0.0008,100,997.2,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0569,0.0012,100,997.6,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0666,0.0004,100,998.4,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.072,0.0008,100,998.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0768,0.0012,100,998.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0805,0.0004,100,999.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0811,0.0008,100,999.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.0923,0.0012,100,999.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.1092,0.0012,100,1001,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.11,0.0008,100,1001.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.1115,0.0004,100,1001.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.1278,0.0004,100,1002.6,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.129,0.0008,100,1002.6,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.1307,0.0012,100,1002.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.1511,0.0012,100,1003.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.152,0.0008,100,1004.2,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,308.15,0.1529,0.0004,100,1004.4,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0,0.0004,100,990.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0,0.0008,100,990.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0,0.0012,100,990.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0421,0.0004,100,992.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0494,0.0008,100,993.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0569,0.0012,100,993.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0666,0.0004,100,994.4,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.072,0.0008,100,994.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0768,0.0012,100,995,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0805,0.0004,100,995.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0811,0.0008,100,995.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.0923,0.0012,100,996,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.1092,0.0012,100,997,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.11,0.0008,100,997.2,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.1115,0.0004,100,997.4,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.1278,0.0004,100,998.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.129,0.0008,100,998.4,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.1307,0.0012,100,998.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.1511,0.0012,100,999.8,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.152,0.0008,100,1000,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,318.15,0.1529,0.0004,100,1000.2,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
