setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Aewye,298.15,0.5007,100,1105.7,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,298.15,0.5994,100,1094.2,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,298.15,0.7946,100,1074.9,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,298.15,0.8989,100,1066.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.0503,100,1181.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.101,100,1169.6,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.2003,100,1148.8,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.2996,100,1130.9,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.5007,100,1102,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.5994,100,1090.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.7946,100,1071.8,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,303.15,0.8989,100,1063.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.0503,100,1176.6,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.101,100,1164.9,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.2003,100,1144.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.2996,100,1126.9,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.5007,100,1098.3,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.5994,100,1087,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.7946,100,1068.4,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,308.15,0.8989,100,1060.1,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.0503,100,1171.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.101,100,1160.1,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.2003,100,1140.1,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.2996,100,1122.8,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.5007,100,1094.7,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.5994,100,1083.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.7946,100,1065.1,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,313.15,0.8989,100,1056.9,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
