setid,"Temperature, K","MolaLity of 1-(2-hydroxylethyl)-3-propylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iWwUz,298.15,0.5535,101,1011.56,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,1.1749,101,1025.68,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,2.1027,101,1043.76,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,3.23,101,1061.54,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,4.7722,101,1079.86,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,5.9922,101,1090.78,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,7.003,101,1098.33,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,0.01,101,995.88,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,0.0505,101,997.08,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,0.102,101,998.4,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,0.208,101,1001.15,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,0.5535,101,1009.99,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,1.1749,101,1023.8,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,2.1027,101,1041.7,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,3.23,101,1058.92,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,4.7722,101,1077.08,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,5.9922,101,1087.9,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,303.15,7.003,101,1095.39,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
