setid,"Temperature, K","Mole fraction of 2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RwmNg,303.15,0.1006,100,1013.56,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.2004,100,1138.51,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.3001,100,1216.3,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.4005,100,1268.9,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.5018,100,1307.2,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.6011,100,1335.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.6999,100,1357.9,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.802,100,1377,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0.892,100,1390.9,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,1,100,1405,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0,100,776.52,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.1006,100,1008.82,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.2004,100,1133.65,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.3001,100,1211.5,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.4005,100,1264.1,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.5018,100,1302.4,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.6011,100,1330.8,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.6999,100,1353.1,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.802,100,1372.1,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,0.892,100,1386.1,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,308.15,1,100,1400,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0,100,772.12,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.1006,100,1004.07,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.2004,100,1128.85,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.3001,100,1206.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.4005,100,1259.2,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.5018,100,1297.5,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.6011,100,1326,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.6999,100,1348.2,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.802,100,1367.3,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,0.892,100,1381.3,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,313.15,1,100,1396,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0,100,767.71,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.1006,100,999.26,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.2004,100,1124.03,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.3001,100,1201.8,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.4005,100,1254.4,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.5018,100,1292.6,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.6011,100,1321.1,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.6999,100,1343.4,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.802,100,1362.5,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,0.892,100,1376.5,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,318.15,1,100,1391,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0,100,763.26,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.1006,100,994.44,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.2004,100,1119.21,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.3001,100,1197,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.4005,100,1249.6,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.5018,100,1287.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.6011,100,1316.3,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.6999,100,1338.6,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.802,100,1357.6,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,0.892,100,1371.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,323.15,1,100,1386,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
