setid,"Temperature, K",Mole fraction of 3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CuUQp,298.15,0.2916,101,1149.6,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.408,101,1176.4,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.4831,101,1188.4,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.5941,101,1201.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.6808,101,1209.3,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.7652,101,1216,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.8178,101,1219.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,1,101,1230.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0,101,781.8,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.0989,101,985.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.1981,101,1103.7,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.2916,101,1145.8,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.408,101,1172.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.4831,101,1185.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.5941,101,1198.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.6808,101,1206.2,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.7652,101,1212.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,0.8178,101,1216.8,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,303.15,1,101,1227.2,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0,101,777,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.0989,101,981.11,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.1981,101,1099.3,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.2916,101,1141.4,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.408,101,1168.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.4831,101,1180.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.5941,101,1194.2,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.6808,101,1202.4,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.7652,101,1209.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,0.8178,101,1213,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,308.15,1,101,1223.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0,101,772.3,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.0989,101,977.01,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.1981,101,1095,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.2916,101,1138,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.408,101,1165.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.4831,101,1178.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.5941,101,1191.6,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.6808,101,1199.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.7652,101,1206.6,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,0.8178,101,1210.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,313.15,1,101,1220.4,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0,101,769.6,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.0989,101,973.32,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.1981,101,1090.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.2916,101,1134,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.408,101,1161.7,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.4831,101,1173.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.5941,101,1187.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.6808,101,1195.2,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.7652,101,1201.8,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,0.8178,101,1205.6,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,318.15,1,101,1215.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0,101,765.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.0989,101,968.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.1981,101,1086.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.2916,101,1130,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.408,101,1158,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.4831,101,1170,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.5941,101,1183.7,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.6808,101,1191.8,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.7652,101,1198.3,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,0.8178,101,1202.2,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,323.15,1,101,1211.4,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
