setid,"Temperature, K","Solvent: MolaLity of 1-butyl-4-methylpyridinium chloride, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tqACT,288.15,0.05,0.17,100,1005.5,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.05,0.1998,100,1006.42,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.075,0,100,1000.28,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.075,0.02098,100,1000.98,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.075,0.06,100,1002.25,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.075,0.1004,100,1003.51,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.075,0.1389,100,1004.67,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.075,0.1706,100,1005.58,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.075,0.2022,100,1006.48,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.1,0,100,1000.57,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.1,0.01991,100,1001.25,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.1,0.059,100,1002.55,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.1,0.0999,100,1003.87,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.1,0.1396,100,1005.12,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.1,0.1703,100,1006.05,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,288.15,0.1,0.2006,100,1006.95,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.025,0,100,998.79,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.025,0.02,100,999.45,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.025,0.0597,100,1000.75,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.025,0.0994,100,1002.02,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.025,0.1406,100,1003.33,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.025,0.1706,100,1004.27,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.025,0.2007,100,1005.21,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.05,0,100,999.07,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.05,0.01956,100,999.72,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.05,0.0599,100,1001.04,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.05,0.0995,100,1002.31,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.05,0.1402,100,1003.59,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.05,0.17,100,1004.51,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.05,0.1998,100,1005.42,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.075,0,100,999.34,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.075,0.02098,100,1000.03,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.075,0.06,100,1001.29,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.075,0.1004,100,1002.53,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.075,0.1389,100,1003.68,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.075,0.1706,100,1004.58,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.075,0.2022,100,1005.46,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.1,0,100,999.61,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.1,0.01991,100,1000.29,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.1,0.059,100,1001.57,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.1,0.0999,100,1002.88,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.1,0.1396,100,1004.11,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.1,0.1703,100,1005.03,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,293.15,0.1,0.2006,100,1005.92,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.025,0,100,997.63,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.025,0.02,100,998.28,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.025,0.0597,100,999.56,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.025,0.0994,100,1000.82,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.025,0.1406,100,1002.12,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.025,0.1706,100,1003.04,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.025,0.2007,100,1003.97,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.05,0,100,997.89,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.05,0.01956,100,998.53,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.05,0.0599,100,999.83,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.05,0.0995,100,1001.09,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.05,0.1402,100,1002.36,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.05,0.17,100,1003.27,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.05,0.1998,100,1004.17,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.075,0,100,998.15,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.075,0.02098,100,998.83,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.075,0.06,100,1000.07,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.075,0.1004,100,1001.3,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.075,0.1389,100,1002.43,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.075,0.1706,100,1003.33,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.075,0.2022,100,1004.19,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.1,0,100,998.41,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.1,0.01991,100,999.07,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.1,0.059,100,1000.34,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.1,0.0999,100,1001.63,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.1,0.1396,100,1002.85,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.1,0.1703,100,1003.76,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,298.15,0.1,0.2006,100,1004.63,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.025,0,100,996.22,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.025,0.02,100,996.86,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.025,0.0597,100,998.13,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.025,0.0994,100,999.38,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.025,0.1406,100,1000.66,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.025,0.1706,100,1001.59,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.025,0.2007,100,1002.5,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.05,0,100,996.47,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.05,0.01956,100,997.1,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.05,0.0599,100,998.39,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.05,0.0995,100,999.64,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.05,0.1402,100,1000.9,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.05,0.17,100,1001.8,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.05,0.1998,100,1002.67,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.075,0,100,996.71,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.075,0.02098,100,997.39,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.075,0.06,100,998.62,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.075,0.1004,100,999.84,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.075,0.1389,100,1000.96,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.075,0.1706,100,1001.85,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
