setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Solvent: Mole fraction of tetrabutylphosphonium bromide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lenAG,303.15,0.89,101.3,0.333,1066.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,1,101.3,0.333,995.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0,101.3,0.333,1106.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.097,101.3,0.333,1105.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.221,101.3,0.333,1104.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.296,101.3,0.333,1103.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.446,101.3,0.333,1100.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.482,101.3,0.333,1100,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.608,101.3,0.333,1096.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.705,101.3,0.333,1091.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.814,101.3,0.333,1080.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,0.89,101.3,0.333,1062.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,308.15,1,101.3,0.333,994,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0,101.3,0.333,1103.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.097,101.3,0.333,1102.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.221,101.3,0.333,1100.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.296,101.3,0.333,1100.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.446,101.3,0.333,1097.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.482,101.3,0.333,1096.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.608,101.3,0.333,1092.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.705,101.3,0.333,1087.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.814,101.3,0.333,1077.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,0.89,101.3,0.333,1059.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,313.15,1,101.3,0.333,992.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0,101.3,0.333,1099.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.097,101.3,0.333,1099,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.221,101.3,0.333,1097.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.296,101.3,0.333,1096.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.446,101.3,0.333,1093.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.482,101.3,0.333,1093.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.608,101.3,0.333,1089,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.705,101.3,0.333,1084.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.814,101.3,0.333,1073.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,0.89,101.3,0.333,1056,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,318.15,1,101.3,0.333,990.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0,101.3,0.333,1096.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.097,101.3,0.333,1095.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.221,101.3,0.333,1094.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.296,101.3,0.333,1093.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.446,101.3,0.333,1090.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.482,101.3,0.333,1089.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.608,101.3,0.333,1085.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.705,101.3,0.333,1080.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.814,101.3,0.333,1069.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,0.89,101.3,0.333,1052.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,323.15,1,101.3,0.333,988.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
