setid,"Temperature, K","MolaLity of N-methyl-N-propylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oUffL,293.15,0.33199,101,1010.51,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0,101,997.047,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.02021,101,997.825,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.03463,101,998.375,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.05421,101,999.119,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.07655,101,999.961,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.10617,101,1001.06,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.13721,101,1002.21,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.17473,101,1003.57,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.21767,101,1005.11,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.26266,101,1006.68,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,298.15,0.33199,101,1009.1,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0,101,995.644,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.02021,101,996.413,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.03463,101,996.956,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.05421,101,997.688,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.07655,101,998.518,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.10617,101,999.599,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.13721,101,1000.73,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.17473,101,1002.08,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.21767,101,1003.58,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.26266,101,1005.17,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,303.15,0.33199,101,1007.51,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0,101,994.026,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.02021,101,994.786,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.03463,101,995.323,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.05421,101,996.044,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.07655,101,996.861,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.10617,101,997.927,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.13721,101,999.039,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.17473,101,1000.36,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.21767,101,1001.84,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.26266,101,1003.41,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,308.15,0.33199,101,1005.72,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0,101,992.216,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.02021,101,992.967,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.03463,101,993.498,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.05421,101,994.209,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.07655,101,995.015,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.10617,101,996.067,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.13721,101,997.174,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.17473,101,998.468,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.21767,101,999.941,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.26266,101,1001.47,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,313.15,0.33199,101,1003.75,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
