setid,"Temperature, K","MolaLity of tetra-sec-butyl ammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
twmzu,308.15,0.0097,74.66,994.477,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.01981,74.66,994.931,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.03014,74.66,995.392,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.04066,74.66,995.891,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.04983,74.66,996.309,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.0598,74.66,996.799,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.07027,74.66,997.293,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.07997,74.66,997.778,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.08984,74.66,998.299,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,308.15,0.1018,74.66,998.923,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
