setid,"Temperature, K",Mole fraction of 1-ethyl-1-methylpyrrolidinium ethyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UYpfM,318.15,0.2458,101,1140.77,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.3495,101,1152.31,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.5281,101,1163.34,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.693,101,1168.5,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.7794,101,1169.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.895,101,1171.1,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,1,101,1173.6,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0,101,987.93,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.0348,101,1041.44,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.0933,101,1089.13,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.1312,101,1107.59,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.2458,101,1137.17,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.3495,101,1149.28,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.5281,101,1160.06,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.693,101,1165.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.7794,101,1165.7,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,0.895,101,1168,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,323.15,1,101,1171,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0,101,985.69,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.0348,101,1038.48,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.0933,101,1085.76,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.1312,101,1103.99,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.2458,101,1133.19,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.3495,101,1145.36,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.5281,101,1156.72,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.693,101,1162,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.7794,101,1162.9,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,0.895,101,1164.9,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,328.15,1,101,1168.3,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0,101,983.17,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.0348,101,1035.45,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.0933,101,1082.31,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.1312,101,1100.26,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.2458,101,1129.65,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.3495,101,1142.23,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.5281,101,1153.16,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.693,101,1158,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.7794,101,1160,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,0.895,101,1162.1,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,333.15,1,101,1165.6,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0,101,980.3,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.0348,101,1033.08,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.0933,101,1079.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.1312,101,1097.07,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.2458,101,1125.34,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.3495,101,1138.14,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.5281,101,1150.02,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.693,101,1155.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.7794,101,1156.5,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,0.895,101,1158.9,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,338.15,1,101,1162.9,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0,101,978.1,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.0348,101,1030.38,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.0933,101,1075.92,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.1312,101,1093.61,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.2458,101,1122.44,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.3495,101,1135.34,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.5281,101,1146.94,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.693,101,1152,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.7794,101,1153.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,0.895,101,1155.8,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,343.15,1,101,1160.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
