setid,"Temperature, K","MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IQuMe,308.15,0.0547,101,1021.8,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0,101,1011.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0085,101,1012.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0134,101,1012.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0207,101,1012.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0274,101,1012.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0362,101,1012.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0411,101,1012.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0472,101,1012.8,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,318.15,0.0547,101,1012.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
