setid,Weight fraction of water,"Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FXqlq,6.7e-05,333.15,1000,0.0001953,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,2000,0.0001788,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,3000,0.0001683,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,4000,0.0001577,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,5000,0.0001485,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,6000,0.0001408,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,7000,0.000135,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,8000,0.0001303,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,333.15,9000,0.0001258,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,1000,0.000183,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,2000,0.0001652,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,3000,0.0001514,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,4000,0.0001398,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,5000,0.000131,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,6000,0.0001238,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,7000,0.0001182,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,8000,0.0001153,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,9000,0.0001091,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,10000,0.0001054,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,12000,9.23e-05,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,15000,9.02e-05,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,20000,8.82e-05,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,313.15,25000,8.62e-05,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,1000,0.0001836,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,2000,0.0001684,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,3000,0.0001579,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,4000,0.0001503,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,5000,0.0001419,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,6000,0.0001347,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,7000,0.0001284,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,8000,0.0001235,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,9000,0.0001203,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,10000,0.0001175,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,12000,0.0001103,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,15000,0.0001071,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,20000,0.0001032,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,323.15,25000,9.99e-05,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,1000,0.0001965,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,2000,0.0001831,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,3000,0.000171,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,4000,0.0001612,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,5000,0.0001532,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,6000,0.000146,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,7000,0.0001399,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,8000,0.0001351,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,9000,0.0001313,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,10000,0.0001277,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,12000,0.0001218,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,15000,0.0001157,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,20000,0.0001111,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0015,333.15,25000,0.0001077,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,1000,0.0001696,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,2000,0.0001564,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,3000,0.0001451,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,4000,0.0001356,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,5000,0.0001279,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,6000,0.0001215,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,7000,0.0001165,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,8000,0.0001124,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,313.15,9000,0.0001108,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,1000,0.0001715,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,2000,0.0001595,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,3000,0.0001494,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,4000,0.0001409,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,5000,0.0001335,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,6000,0.0001272,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,7000,0.000122,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,8000,0.0001177,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,323.15,9000,0.0001148,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,1000,0.0001792,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,2000,0.0001679,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,3000,0.0001584,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,4000,0.0001505,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,5000,0.0001434,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,6000,0.0001372,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,7000,0.0001321,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,8000,0.0001279,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.0089,333.15,9000,0.0001246,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,1000,0.0001518,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,2000,0.000139,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,3000,0.0001303,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,4000,0.0001227,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,5000,0.0001166,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,6000,0.0001124,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,7000,0.0001083,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,8000,0.0001075,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,313.15,9000,0.0001075,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,1000,0.0001551,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,2000,0.0001449,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,3000,0.0001365,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,4000,0.0001295,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,5000,0.0001234,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,6000,0.0001185,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,7000,0.0001149,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,8000,0.0001129,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,323.15,9000,0.0001099,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,1000,0.0001615,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,2000,0.0001493,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,3000,0.0001407,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,4000,0.0001331,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,5000,0.0001268,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,6000,0.0001215,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,7000,0.0001173,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,8000,0.0001135,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,0.016,333.15,9000,0.0001105,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
