setid,"Temperature, K",Mole fraction of diethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ifehq,298.15,0.7391,101,1027.18,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.8686,101,1024.96,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.9493,101,1023.14,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.9758,101,1022.3,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,1,101,1021.41,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0,101,1023.74,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.0234,101,1024.14,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.0473,101,1024.34,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.1188,101,1025.34,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.1668,101,1025.85,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.2393,101,1026.2,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.3616,101,1026.29,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.411,101,1026.22,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.4856,101,1025.78,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.6115,101,1024.47,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.7391,101,1022.47,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.8686,101,1019.99,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.9493,101,1018.04,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,0.9758,101,1017.29,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,303.15,1,101,1016.52,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0,101,1019.25,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.0234,101,1019.65,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.0473,101,1019.91,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.1188,101,1020.3,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.1668,101,1020.67,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.2393,101,1020.89,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.3616,101,1020.97,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.411,101,1020.77,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.4856,101,1020.41,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.6115,101,1019.23,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.7391,101,1017.4,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.8686,101,1015.03,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.9493,101,1013.14,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,0.9758,101,1012.47,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,308.15,1,101,1011.87,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0,101,1014.74,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.0234,101,1014.97,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.0473,101,1015.32,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.1188,101,1015.77,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.1668,101,1016.03,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.2393,101,1016.53,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.3616,101,1016.79,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.411,101,1016.77,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.4856,101,1016.52,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.6115,101,1015.76,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.7391,101,1014.43,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.8686,101,1012.59,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.9493,101,1010.98,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,0.9758,101,1010.43,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,313.15,1,101,1010.08,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
