setid,Mole fraction of tetraethylammonium trifluoromethanesulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QNJrC,0.05,313.15,100,859.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,318.15,100,854.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,323.15,100,849.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,328.15,100,844.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,333.15,100,839,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,338.15,100,834.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,343.15,100,828.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,348.15,100,823.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,293.15,100,919.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,298.15,100,914.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,303.15,100,909.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,308.15,100,904.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,313.15,100,899.9,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,318.15,100,894.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,323.15,100,889.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,328.15,100,884.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,333.15,100,879.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,338.15,100,875.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,343.15,100,869.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.08,348.15,100,864.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,293.15,100,945.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,298.15,100,940.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,303.15,100,935.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,308.15,100,930.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,313.15,100,926,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,318.15,100,921.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,323.15,100,916,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,328.15,100,911.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,333.15,100,906.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,338.15,100,901.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,343.15,100,896.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.0997,348.15,100,891.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,293.15,100,965.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,298.15,100,960.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,303.15,100,956,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,308.15,100,951.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,313.15,100,946.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,318.15,100,941.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,323.15,100,936.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,328.15,100,932,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,333.15,100,927.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,338.15,100,922.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,343.15,100,917.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1199,348.15,100,912.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,293.15,100,996.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,298.15,100,991.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,303.15,100,987.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,308.15,100,982.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,313.15,100,978.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,318.15,100,973.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,323.15,100,968.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,328.15,100,963.9,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,333.15,100,959.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,338.15,100,955,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,343.15,100,950.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.1498,348.15,100,945.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,293.15,100,1037.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,298.15,100,1033.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,303.15,100,1028.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,308.15,100,1024.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,313.15,100,1019.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,318.15,100,1015.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,323.15,100,1010.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,328.15,100,1006.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,333.15,100,1001.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,338.15,100,997.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,343.15,100,992.9,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2,348.15,100,988.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,293.15,100,1074.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,298.15,100,1070,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,303.15,100,1065.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,308.15,100,1061.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,313.15,100,1057.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,318.15,100,1052.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,323.15,100,1048.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,328.15,100,1044,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,333.15,100,1039.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,338.15,100,1035.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,343.15,100,1031.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.25,348.15,100,1026.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,293.15,100,1099.1,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,298.15,100,1094.9,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,303.15,100,1090.6,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,308.15,100,1086.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,313.15,100,1082.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,318.15,100,1078,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,323.15,100,1073.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,328.15,100,1069.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,333.15,100,1065.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,338.15,100,1061.4,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.2995,343.15,100,1056.9,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
