setid,"Solvent: MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eIVdy,0.03,288.15,0.1998,100,1006,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,288.15,0.2514,100,1007.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,288.15,0.3018,100,1008.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,298.15,0,100,998.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,298.15,0.0512,100,999.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,298.15,0.0993,100,1001,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,298.15,0.1453,100,1002.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,298.15,0.1998,100,1003.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,298.15,0.2514,100,1004.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,298.15,0.3018,100,1006.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,308.15,0,100,995.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,308.15,0.0512,100,996.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,308.15,0.0993,100,997.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,308.15,0.1453,100,999,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,308.15,0.1998,100,1000.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,308.15,0.2514,100,1001.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,308.15,0.3018,100,1002.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,318.15,0,100,991.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,318.15,0.0512,100,992.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,318.15,0.0993,100,993.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,318.15,0.1453,100,995,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,318.15,0.1998,100,996.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,318.15,0.2514,100,997.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,318.15,0.3018,100,998.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,288.15,0,100,1001.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,288.15,0.0471,100,1003.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,288.15,0.1004,100,1004.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,288.15,0.15,100,1005.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,288.15,0.2017,100,1007,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,288.15,0.245,100,1008.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,288.15,0.2996,100,1009.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,298.15,0,100,999.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,298.15,0.0471,100,1000.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,298.15,0.1004,100,1001.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,298.15,0.15,100,1003.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,298.15,0.2017,100,1004.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,298.15,0.245,100,1005.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,298.15,0.2996,100,1006.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,308.15,0,100,996.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,308.15,0.0471,100,997.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,308.15,0.1004,100,998.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,308.15,0.15,100,1000,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,308.15,0.2017,100,1001.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,308.15,0.245,100,1002.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,308.15,0.2996,100,1003.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,318.15,0,100,992.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,318.15,0.0471,100,993.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,318.15,0.1004,100,994.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,318.15,0.15,100,996.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,318.15,0.2017,100,997.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,318.15,0.245,100,998.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.05,318.15,0.2996,100,999.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
